,,precision,precision,precision,recall,recall,recall,mAP50,mAP50,mAP50,mAP50_95,mAP50_95,mAP50_95,inference_ms,inference_ms,inference_ms
,,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std
model,variant,,,,,,,,,,,,,,,
yolov8n.pt,baseline,5,0.6916478571280501,0.041431687694451935,5,0.672482901888371,0.022388021974199264,5,0.7144193043648206,0.02514619016519382,5,0.39186228912507604,0.008008284684936034,5,3.523402698756604,0.8139830168945723
yolov8n.pt,cutmix,3,0.7367944739109419,0.020555413096401468,3,0.6969366125321749,0.02320472316081634,3,0.7215441442855344,0.01013499037700484,3,0.3896919152076716,0.0049751292476678905,3,3.6505512921104715,0.5444609314412218
yolov8n.pt,mask_guided,5,0.7189432750253886,0.08488429879209863,5,0.6746621831739785,0.050752194462078605,5,0.711227460814229,0.03677731888477457,5,0.3721669007903087,0.018732059410971752,5,3.7322889929741954,0.6633088730921789
yolov8n.pt,mixup,3,0.7101428937473667,0.07768144403645076,3,0.682622458619389,0.015928973024981533,3,0.7046149032414014,0.02401450428522277,3,0.38853372381605955,0.007769624797174574,3,4.072235939040612,0.21500334989332975
yolov8n.pt,mosaic,3,0.7503016854041974,0.062453069711705056,3,0.6984499474787302,0.029398127732797107,3,0.7395523639564846,0.017453821261899757,3,0.3998478280336817,0.01913487644235873,3,3.725031453571963,0.32062977252836117
yolov8n.pt,random_erasing,3,0.7016648932316717,0.017858583091452513,3,0.6859728044394409,0.029274728605247886,3,0.7076271980564313,0.007615712380586412,3,0.3836409923128543,0.007581756741939699,3,3.961522843730583,0.14380245224848057
